ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11208825,JB122680,1/20/2018 3:55,016XX E 56TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,235,2,5,41,08B,1188348,1868196,2018,5/4/2018 15:51,41.79340561,-87.5848746,"(41.79340561, -87.5848746)"
11214351,JB129974,1/26/2018 7:30,016XX E 56TH ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,235,2,5,41,6,1188348,1868196,2018,5/4/2018 15:51,41.79340561,-87.5848746,"(41.79340561, -87.5848746)"
11214383,JB130053,1/26/2018 7:00,016XX E 56TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,235,2,5,41,14,1188348,1868196,2018,5/4/2018 15:51,41.79340561,-87.5848746,"(41.79340561, -87.5848746)"
11214444,JB130141,1/25/2018 23:00,016XX E 56TH ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,235,2,5,41,6,1188348,1868196,2018,5/4/2018 15:51,41.79340561,-87.5848746,"(41.79340561, -87.5848746)"
11220040,JB137223,1/31/2018 13:00,016XX E 56TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,235,2,5,41,14,1188348,1868196,2018,5/4/2018 15:51,41.79340561,-87.5848746,"(41.79340561, -87.5848746)"
11223955,JB142694,2/5/2018 18:30,016XX E 56TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,235,2,5,41,14,1188348,1868196,2018,5/4/2018 15:51,41.79340561,-87.5848746,"(41.79340561, -87.5848746)"
11223963,JB142702,2/6/2018 7:00,016XX E 56TH ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,235,2,5,41,6,1188348,1868196,2018,5/4/2018 15:51,41.79340561,-87.5848746,"(41.79340561, -87.5848746)"
11223977,JB142685,2/5/2018 18:30,016XX E 56TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,235,2,5,41,14,1188348,1868196,2018,5/4/2018 15:51,41.79340561,-87.5848746,"(41.79340561, -87.5848746)"
11223999,JB142739,2/5/2018 20:00,016XX E 56TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,235,2,5,41,14,1188348,1868196,2018,5/4/2018 15:51,41.79340561,-87.5848746,"(41.79340561, -87.5848746)"
11239328,JB161711,2/15/2018 14:00,016XX E 56TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,235,2,5,41,14,1188348,1868196,2018,5/4/2018 15:51,41.79340561,-87.5848746,"(41.79340561, -87.5848746)"
11345406,JB303814,6/3/2018 17:00,016XX E 56TH ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,235,2,5,41,6,1188348,1868196,2018,6/15/2018 16:03,41.79340561,-87.5848746,"(41.79340561, -87.5848746)"
11525088,JB539654,12/4/2018 11:30,016XX E 56TH ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,FALSE,FALSE,235,2,5,41,26,1188348,1868196,2018,12/11/2018 16:20,41.79340561,-87.5848746,"(41.79340561, -87.5848746)"
11243953,JB169597,2/28/2018 9:45,016XX E 56TH ST,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,331,3,5,41,6,1188347,1868196,2018,5/4/2018 15:51,41.79340563,-87.58487827,"(41.793405634, -87.584878267)"
11201345,JB111131,1/10/2018 11:45,017XX E 56TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,235,2,5,41,14,1188708,1868206,2018,5/4/2018 15:51,41.79342444,-87.58355421,"(41.793424442, -87.583554214)"
11202800,JB114309,1/12/2018 18:45,017XX E 56TH ST,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,RESIDENCE,FALSE,FALSE,235,2,5,41,20,1188708,1868206,2018,5/4/2018 15:51,41.79342444,-87.58355421,"(41.793424442, -87.583554214)"
11224323,JB142552,2/5/2018 21:45,017XX E 56TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,235,2,5,41,08B,1188708,1868206,2018,5/4/2018 15:51,41.79342444,-87.58355421,"(41.793424442, -87.583554214)"
11392831,JB365871,7/26/2018 10:15,017XX E 56TH ST,557,ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,APARTMENT,FALSE,FALSE,235,2,5,41,04A,1188708,1868206,2018,8/2/2018 15:53,41.79342444,-87.58355421,"(41.793424442, -87.583554214)"
11422539,JB404387,8/21/2018 9:00,017XX E 56TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,235,2,5,41,14,1188708,1868206,2018,8/28/2018 16:01,41.79342444,-87.58355421,"(41.793424442, -87.583554214)"
11428646,JB412214,8/24/2018 17:00,017XX E 56TH ST,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,SIDEWALK,FALSE,TRUE,235,2,5,41,20,1188708,1868206,2018,8/31/2018 16:01,41.79342444,-87.58355421,"(41.793424442, -87.583554214)"
11229379,JB150187,2/12/2018 18:05,017XX E 56TH ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,235,2,5,41,7,1188901,1868210,2018,5/4/2018 15:51,41.7934308,-87.58284638,"(41.793430797, -87.582846384)"
11351871,JB312346,6/18/2018 14:00,017XX E 56TH ST,479,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,STREET,FALSE,FALSE,235,2,5,41,04B,1189448,1868225,2018,6/25/2018 15:52,41.79345884,-87.58084014,"(41.793458837, -87.580840135)"
